"Best network found at episode 613, Length: 43"
5,7
1,4
0,7
4,7
1,2
0,6
3,6
5,6
0,4
2,3
4,6
6,7
3,6
0,1
6,7
2,5
2,7
0,7
3,4
6,7
1,5
4,7
1,3
6,7
3,4
2,7
0,2
3,4
0,5
2,7
4,5
3,4
2,3
0,1
2,4
4,7
2,3
3,4
0,2
5,7
5,6
3,4
1,2
