Episode,TotalReward,Steps,AvgReward,AvgSteps,Epsilon,BestNetworkLen,Loss
50,-5.0,60,-4.46204845837563,59.84,0.9753038143277888,57,0.0196
100,-5.0,60,-4.865517241379311,59.96,0.951217530242334,57,0.0004
150,-5.0,60,-4.7241134751773055,59.74,0.9277260855008077,47,0.0006
200,-5.0,60,-4.326651448819882,59.78,0.9048147898403269,47,0.0010
250,-5.0,60,-5.0,60.0,0.8824693157914677,47,0.0003
300,-5.0,60,-4.858333333333333,59.76,0.8606756897186528,47,0.0005
350,1.7857142857142858,56,-4.451835233613752,59.54,0.8394202830818028,47,0.0006
400,-5.0,60,-4.727248677248678,59.8,0.8186898039137951,47,0.0004
450,-5.0,60,-4.594065885717429,59.8,0.7984712885083941,47,0.0002
500,-5.0,60,-5.0,60.0,0.7787520933134615,47,0.0003
550,-5.0,60,-4.598850574712643,59.96,0.7595198870243695,47,0.0004
600,-5.0,60,-4.721083172147002,59.64,0.7407626428726788,47,0.0007
650,-5.0,60,-4.719590067008278,59.64,0.7224686311052574,43,0.0012
700,-5.0,60,-4.728480204342273,59.84,0.7046264116491338,43,0.0008
750,-5.0,60,-4.722964049889949,59.7,0.6872248269575028,43,0.0068
800,-5.0,60,-5.0,60.0,0.6702529950324074,43,0.0005
850,-5.0,60,-4.859183673469388,59.78,0.6537003026197313,43,0.0003
900,-5.0,60,-5.0,60.0,0.637556398572254,43,0.0005
950,-5.0,60,-4.866666666666666,60.0,0.6218111873766076,43,0.0016
1000,-5.0,60,-4.864285714285715,59.92,0.606454822840097,43,0.0006
1050,-5.0,60,-4.866101694915255,59.98,0.5914777019334302,43,0.0004
1100,-5.0,60,-5.0,60.0,0.5768704587855094,43,0.0043
1150,-5.0,60,-4.86,59.8,0.5626239588265294,43,0.0011
1200,-5.0,60,-4.861538461538462,59.84,0.548729293075715,43,0.0012
1250,-5.0,60,-5.0,60.0,0.5351777725701358,43,0.0007
1300,-5.0,60,-5.0,60.0,0.5219609229311034,43,0.0009
1350,-5.0,60,-5.0,60.0,0.5090704790647583,43,0.0004
1400,-5.0,60,-5.0,60.0,0.49649837999353363,43,0.0006
1450,-5.0,60,-5.0,60.0,0.4842367638152614,43,0.0014
1500,-5.0,60,-5.0,60.0,0.4722779627867691,43,0.0002
1550,-5.0,60,-5.0,60.0,0.46061449852889347,43,0.0004
1600,-5.0,60,-5.0,60.0,0.44923907734991153,43,0.0008
1650,-5.0,60,-4.866666666666667,60.0,0.4381445856844652,43,0.0016
1700,-5.0,60,-5.0,60.0,0.4273240856451275,43,0.0004
1750,-5.0,60,-5.0,60.0,0.41677081068382765,43,0.0008
