Episode,TotalReward,AvgReward,Epsilon
50,6.0,10.25375,0.778312557068642
100,8.1875,11.31125,0.6057704364907278
150,25.375,15.7625,0.47147873742168567
200,14.125,17.27875,0.3669578217261671
250,24.125,20.00125,0.285607880564032
300,13.625,18.24375,0.22229219984074702
350,25.9375,21.66,0.1730128104744653
400,25.125,21.01875,0.1346580429260134
450,14.125,23.35125,0.10480604571960442
500,11.8125,22.88875,0.08157186144027828
550,26.875,22.65,0.06348840406243188
600,26.4375,22.0975,0.05
650,22.875,25.11125,0.05
700,27.0625,24.24625,0.05
750,25.3125,22.22125,0.05
800,25.3125,21.9,0.05
850,21.6875,21.74375,0.05
900,27.0625,24.265,0.05
950,26.9375,24.135,0.05
1000,24.875,22.7325,0.05
1050,23.25,23.80375,0.05
1100,27.0,25.77375,0.05
1150,26.6875,24.93875,0.05
1200,25.125,23.16375,0.05
1250,26.0,24.565,0.05
1300,27.0625,24.72,0.05
1350,16.6875,23.66,0.05
1400,25.125,22.105,0.05
1450,26.375,24.6075,0.05
1500,26.75,25.03375,0.05
1550,26.3125,24.00375,0.05
1600,24.375,23.43625,0.05
1650,11.5625,23.1925,0.05
1700,27.125,23.58625,0.05
1750,22.1875,23.59625,0.05
1800,25.3125,24.1,0.05
1850,26.875,25.1425,0.05
1900,19.75,24.31125,0.05
1950,20.3125,21.85375,0.05
2000,24.875,23.94375,0.05
2050,25.25,25.58375,0.05
2100,27.125,24.77625,0.05
2150,26.75,24.88125,0.05
2200,26.9375,24.13875,0.05
2250,27.0625,24.21625,0.05
2300,22.25,25.175,0.05
2350,25.375,23.97875,0.05
2400,27.0625,25.2125,0.05
2450,27.0,24.7925,0.05
2500,27.0625,23.73,0.05
2550,5.5625,25.02625,0.05
2600,24.5625,24.035,0.05
2650,25.1875,24.21875,0.05
2700,27.0625,24.93375,0.05
2750,24.0625,23.355,0.05
2800,26.9375,24.3175,0.05
2850,27.125,23.315,0.05
2900,26.8125,24.19625,0.05
2950,27.0,24.72625,0.05
3000,26.375,21.70875,0.05
