Episode,TotalReward,Steps,AvgReward,AvgSteps,Epsilon,BestNetworkLen,Loss
50,-5.0,60,-4.729738058551618,59.88,0.9753038143277888,55,33818.9805
100,-5.0,60,-4.864285714285715,59.92,0.951217530242334,55,90244.8203
150,-5.0,60,-4.4515789473684215,59.54,0.9277260855008077,50,67391.2344
200,-5.0,60,-4.8534883720930235,59.66,0.9048147898403269,43,36649.9453
250,-5.0,60,-5.0,60.0,0.8824693157914677,43,37773.5977
300,-5.0,60,-5.0,60.0,0.8606756897186528,43,25775.0781
350,-5.0,60,-5.0,60.0,0.8394202830818028,43,16590.7285
400,-5.0,60,-4.862264150943396,59.86,0.8186898039137951,43,15242.1953
450,-5.0,60,-5.0,60.0,0.7984712885083941,43,13485.7148
500,-5.0,60,-4.723076923076923,59.68,0.7787520933134615,43,8501.0732
550,-5.0,60,-4.728571428571429,59.84,0.7595198870243695,43,5158.0649
600,-5.0,60,-5.0,60.0,0.7407626428726788,43,1131.3180
650,-5.0,60,-5.0,60.0,0.7224686311052574,43,22.6318
700,-5.0,60,-4.701219512195122,59.22,0.7046264116491338,40,17.2128
750,-5.0,60,-4.866101694915255,59.98,0.6872248269575028,40,0.6728
800,-5.0,60,-4.862962962962963,59.88,0.6702529950324074,40,0.0215
850,-5.0,60,-4.866666666666667,60.0,0.6537003026197313,40,0.2099
900,-5.0,60,-5.0,60.0,0.637556398572254,40,0.2995
950,-5.0,60,-4.724420677361854,59.72,0.6218111873766076,40,0.2970
1000,-5.0,60,-4.859183673469388,59.78,0.606454822840097,40,0.3540
1050,-5.0,60,-5.0,60.0,0.5914777019334302,40,0.4587
1100,-5.0,60,-4.732768361581921,59.98,0.5768704587855094,40,0.4839
1150,-5.0,60,-4.730952380952381,59.92,0.5626239588265294,40,0.1205
1200,-5.0,60,-5.0,60.0,0.548729293075715,40,0.5307
