"Best network found at episode 670, Length: 40"
2,4
5,6
6,7
0,5
0,4
1,3
0,5
2,5
1,2
0,1
1,4
2,7
0,6
2,4
1,7
3,5
0,7
0,2
4,6
3,5
1,3
1,6
2,4
6,7
1,2
3,4
4,6
2,4
6,7
2,4
1,7
5,6
4,7
2,3
6,7
2,6
5,7
1,5
1,7
4,5
