Episode,TotalReward,Steps,AvgReward,AvgSteps,Epsilon,BestNetworkLen,Loss
50,-10.0,14,-10.0,14.0,0.778312557068642,N/A,0.1286
100,-10.0,14,-10.0,14.0,0.6057704364907278,N/A,0.0167
150,-10.0,14,-10.0,14.0,0.47147873742168567,N/A,0.0830
200,-10.0,14,-10.0,14.0,0.3669578217261671,N/A,0.0174
250,-10.0,14,-10.0,14.0,0.285607880564032,N/A,0.0257
300,-10.0,14,-10.0,14.0,0.22229219984074702,N/A,0.0165
350,-10.0,14,-10.0,14.0,0.1730128104744653,N/A,0.0138
400,-10.0,14,-10.0,14.0,0.1346580429260134,N/A,0.0444
450,-10.0,14,-10.0,14.0,0.10480604571960442,N/A,0.0071
500,-10.0,14,-10.0,14.0,0.08157186144027828,N/A,0.0102
550,-10.0,14,-10.0,14.0,0.06348840406243188,N/A,0.0040
600,-10.0,14,-10.0,14.0,0.0494138221100385,N/A,0.0047
650,-10.0,14,-10.0,14.0,0.03845939824099909,N/A,0.0031
700,-10.0,14,-10.0,14.0,0.029933432588273214,N/A,0.0026
750,-10.0,14,-10.0,14.0,0.023297566459620722,N/A,0.0031
800,-10.0,14,-10.0,14.0,0.018132788524664028,N/A,0.0051
850,-10.0,14,-10.0,14.0,0.014112977003416188,N/A,0.0050
900,-10.0,14,-10.0,14.0,0.01098430721937979,N/A,0.0033
950,-10.0,14,-10.0,14.0,0.01,N/A,0.0084
1000,-10.0,14,-10.0,14.0,0.01,N/A,0.0055
1050,-10.0,14,-10.0,14.0,0.01,N/A,0.0036
1100,-10.0,14,-10.0,14.0,0.01,N/A,0.0021
1150,-10.0,14,-10.0,14.0,0.01,N/A,0.0021
1200,-10.0,14,-10.0,14.0,0.01,N/A,0.0022
1250,-10.0,14,-10.0,14.0,0.01,N/A,0.0031
1300,-10.0,14,-10.0,14.0,0.01,N/A,0.0017
1350,-10.0,14,-10.0,14.0,0.01,N/A,0.0011
1400,-10.0,14,-10.0,14.0,0.01,N/A,0.0022
1450,-10.0,14,-10.0,14.0,0.01,N/A,0.0044
1500,-10.0,14,-10.0,14.0,0.01,N/A,0.0018
1550,-10.0,14,-10.0,14.0,0.01,N/A,0.0017
1600,-10.0,14,-10.0,14.0,0.01,N/A,0.0015
1650,-10.0,14,-10.0,14.0,0.01,N/A,0.0011
1700,-10.0,14,-10.0,14.0,0.01,N/A,0.0017
1750,-10.0,14,-10.0,14.0,0.01,N/A,0.0011
1800,-10.0,14,-10.0,14.0,0.01,N/A,0.0013
1850,-10.0,14,-10.0,14.0,0.01,N/A,0.0015
