Episode,TotalReward,AvgReward,Epsilon
50,7.375,7.4125,0.05
100,8.5,8.33,0.05
150,8.375,8.0475,0.05
200,8.5,8.1925,0.05
250,8.625,8.2675,0.05
300,8.625,8.445,0.05
350,8.625,8.2075,0.05
400,8.625,7.93,0.05
450,8.75,8.1925,0.05
500,2.625,8.435,0.05
550,8.75,8.4425,0.05
600,5.25,8.3275,0.05
650,8.75,8.4825,0.05
700,8.75,8.405,0.05
750,8.75,8.41,0.05
800,8.75,8.3525,0.05
850,8.625,8.02,0.05
900,5.25,7.9675,0.05
950,3.5,8.2075,0.05
1000,4.375,8.3925,0.05
