Episode,TotalReward,Steps,AvgReward,AvgSteps,Epsilon,BestNetworkLen,Loss
50,-10.44,45,-10.44,45.0,0.9753038143277888,N/A,0.0006
100,-10.44,45,-10.44,45.0,0.951217530242334,N/A,0.0016
150,-10.44,45,-10.44,45.0,0.9277260855008077,N/A,0.0064
200,-10.44,45,-10.44,45.0,0.9048147898403269,N/A,0.0074
250,-10.44,45,-10.44,45.0,0.8824693157914677,N/A,0.0005
300,-10.44,45,-10.44,45.0,0.8606756897186528,N/A,0.0031
350,-10.44,45,-10.44,45.0,0.8394202830818028,N/A,0.0757
400,-10.44,45,-10.44,45.0,0.8186898039137951,N/A,0.0329
450,-10.44,45,-10.44,45.0,0.7984712885083941,N/A,0.0052
500,-10.44,45,-10.44,45.0,0.7787520933134615,N/A,0.0149
550,-10.44,45,-10.44,45.0,0.7595198870243695,N/A,0.0031
600,-10.44,45,-10.44,45.0,0.7407626428726788,N/A,0.0093
650,-10.44,45,-10.44,45.0,0.7224686311052574,N/A,0.0020
700,-10.44,45,-10.44,45.0,0.7046264116491338,N/A,0.0074
750,-10.44,45,-10.44,45.0,0.6872248269575028,N/A,0.0019
800,-10.44,45,-10.44,45.0,0.6702529950324074,N/A,0.0222
850,-10.44,45,-10.44,45.0,0.6537003026197313,N/A,0.0030
900,-10.44,45,-10.44,45.0,0.637556398572254,N/A,0.0020
950,-10.44,45,-10.44,45.0,0.6218111873766076,N/A,0.0047
1000,-10.44,45,-10.44,45.0,0.606454822840097,N/A,0.0082
1050,-10.44,45,-10.44,45.0,0.5914777019334302,N/A,0.0072
1100,-10.44,45,-10.44,45.0,0.5768704587855094,N/A,0.0060
1150,-10.44,45,-10.44,45.0,0.5626239588265294,N/A,0.0149
1200,-10.44,45,-10.44,45.0,0.548729293075715,N/A,0.0029
1250,-10.44,45,-10.44,45.0,0.5351777725701358,N/A,0.0029
1300,-10.44,45,-10.44,45.0,0.5219609229311034,N/A,0.0028
1350,-10.44,45,-10.44,45.0,0.5090704790647583,N/A,0.0039
1400,-10.44,45,-10.44,45.0,0.49649837999353363,N/A,0.0081
1450,-10.44,45,-10.44,45.0,0.4842367638152614,N/A,0.0019
1500,-10.44,45,-10.44,45.0,0.4722779627867691,N/A,0.0022
1550,-10.44,45,-10.44,45.0,0.46061449852889347,N/A,0.0030
1600,-10.44,45,-10.44,45.0,0.44923907734991153,N/A,0.0037
1650,-10.44,45,-10.44,45.0,0.4381445856844652,N/A,0.0039
1700,-10.44,45,-10.44,45.0,0.4273240856451275,N/A,0.0039
1750,-10.44,45,-10.44,45.0,0.41677081068382765,N/A,0.0052
1800,-10.44,45,-10.195555555555554,45.0,0.406478161360422,45,0.0037
1850,-10.44,45,-10.44,45.0,0.396439701215766,45,0.0031
1900,-10.44,45,-10.44,45.0,0.3866491527467055,45,0.0012
1950,-10.44,45,-10.44,45.0,0.3771003934804696,45,0.0011
2000,-10.44,45,-10.44,45.0,0.3677874521460121,45,0.0023
2050,-10.44,45,-10.44,45.0,0.3587045049399047,45,0.0017
2100,-10.44,45,-10.44,45.0,0.34984587188445015,45,0.0022
2150,-10.44,45,-10.44,45.0,0.34120601327573535,45,0.0015
2200,-10.44,45,-10.44,45.0,0.3327795262194029,45,0.0023
2250,-10.44,45,-10.44,45.0,0.3245611412519779,45,0.0034
2300,-10.44,45,-10.44,45.0,0.31654571904563433,45,0.0016
2350,-10.44,45,-10.44,45.0,0.30872824719433983,45,0.0053
2400,-10.44,45,-10.44,45.0,0.3011038370793723,45,0.0032
2450,-10.44,45,-10.44,45.0,0.29366772081224507,45,0.0014
2500,-10.44,45,-10.44,45.0,0.28641524825313086,45,0.0019
2550,-10.44,45,-10.44,45.0,0.2793418841029192,45,0.0013
2600,-10.44,45,-10.44,45.0,0.27244320506708813,45,0.0032
2650,-10.44,45,-10.44,45.0,0.26571489708961893,45,0.0015
2700,-10.44,45,-10.44,45.0,0.25915275265522114,45,0.0025
2750,-10.44,45,-10.44,45.0,0.2527526681581832,45,0.0019
2800,-10.44,45,-10.44,45.0,0.24651064133620196,45,0.0026
2850,-10.44,45,-10.44,45.0,0.2404227687675873,45,0.0047
2900,-10.44,45,-10.44,45.0,0.23448524343027585,45,0.0022
2950,-10.44,45,-10.44,45.0,0.2286943523211281,45,0.0019
3000,-10.44,45,-10.44,45.0,0.22304647413401948,45,0.0015
3050,-10.44,45,-10.44,45.0,0.21753807699527364,45,0.0009
3100,-10.44,45,-10.44,45.0,0.21216571625502262,45,0.0019
3150,-10.44,45,-10.44,45.0,0.20692603233311097,45,0.0014
3200,-10.44,45,-10.44,45.0,0.2018157486181985,45,0.0042
3250,-10.44,45,-10.44,45.0,0.19683166941874727,45,0.0012
3300,-10.44,45,-10.44,45.0,0.1919706779646106,45,0.0018
3350,-10.44,45,-10.44,45.0,0.18722973445797636,45,0.0015
3400,-10.44,45,-10.44,45.0,0.1826058741724434,45,0.0007
3450,-10.44,45,-10.44,45.0,0.17809620559904438,45,0.0014
3500,-10.44,45,-10.44,45.0,0.17369790863805412,45,0.0016
3550,-10.44,45,-10.44,45.0,0.1694082328354539,45,0.0015
3600,-10.44,45,-10.44,45.0,0.1652244956629483,45,0.0010
3650,-10.44,45,-10.44,45.0,0.1611440808404587,45,0.0011
3700,-10.44,45,-10.44,45.0,0.1571644367000449,45,0.0010
3750,-10.44,45,-10.44,45.0,0.15328307459023202,45,0.0016
3800,-10.44,45,-10.44,45.0,0.1494975673197442,45,0.0004
3850,-10.44,45,-10.44,45.0,0.1458055476396719,45,0.0007
3900,-10.44,45,-10.44,45.0,0.1422047067631241,45,0.0009
3950,-10.44,45,-10.44,45.0,0.13869279292143966,45,0.0009
4000,-10.44,45,-10.44,45.0,0.13526760995605422,45,0.0005
4050,-10.44,45,-10.44,45.0,0.1319270159451434,45,0.0007
4100,-10.44,45,-10.44,45.0,0.12866892186418147,45,0.0007
4150,-10.44,45,-10.44,45.0,0.12549129027958048,45,0.0007
4200,-10.44,45,-10.44,45.0,0.12239213407459068,45,0.0006
4250,-10.44,45,-10.44,45.0,0.11936951520666646,45,0.0012
4300,-10.44,45,-10.44,45.0,0.1164215434955208,45,0.0010
4350,-10.44,45,-10.44,45.0,0.11354637544110997,45,0.0012
4400,-10.44,45,-10.44,45.0,0.11074221307080971,45,0.0010
4450,-10.44,45,-10.44,45.0,0.1080073028150614,45,0.0012
4500,-10.44,45,-10.44,45.0,0.10533993441078586,45,0.0007
4550,-10.44,45,-10.44,45.0,0.10273843983187857,45,0.0012
4600,-10.44,45,-10.44,45.0,0.1002011922461172,45,0.0007
4650,-10.44,45,-10.44,45.0,0.09772660499783015,45,0.0012
4700,-10.44,45,-10.44,45.0,0.09531313061568897,45,0.0007
4750,-10.44,45,-10.44,45.0,0.09295925984500425,45,0.0007
4800,-10.44,45,-10.44,45.0,0.09066352070392071,45,0.0007
4850,-10.44,45,-10.44,45.0,0.08842447756292034,45,0.0010
4900,-10.44,45,-10.44,45.0,0.08624073024705824,45,0.0009
4950,-10.44,45,-10.44,45.0,0.0841109131603698,45,0.0015
5000,-10.44,45,-10.44,45.0,0.0820336944319021,45,0.0019
