"Best network found at episode 1792, Length: 45"
0,7
2,6
0,4
5,6
2,4
3,5
1,2
1,6
3,7
1,2
2,7
2,4
2,7
5,6
2,4
4,5
2,4
1,4
0,4
3,7
0,4
4,5
0,4
2,5
0,3
2,5
5,7
3,4
4,5
0,1
1,3
4,7
1,3
4,7
1,3
0,7
1,2
4,7
1,4
3,6
4,6
2,3
0,1
6,7
5,6
