Episode,TotalReward,AvgReward,Epsilon
50,84,71.5,0.05
100,83,70.48,0.05
150,88,77.02,0.05
200,91,83.24,0.05
250,82,36.26,0.05
300,-69,73.84,0.05
350,83,77.04,0.05
400,90,88.14,0.05
450,81,38.76,0.05
500,83,66.66,0.05
550,83,80.8,0.05
600,-69,78.3,0.05
650,85,38.3,0.05
700,-69,63.2,0.05
750,89,47.14,0.05
800,-69,78.12,0.05
850,91,76.06,0.05
900,81,66.36,0.05
950,-69,62.68,0.05
1000,81,31.48,0.05
