Episode,TotalReward,Steps,AvgReward,AvgSteps,Epsilon,BestNetworkLen,Loss
10,100.0,1,100.0,1.0,0.9511101304657719,1,N/A
20,100.0,1,100.0,1.0,0.9046104802746175,1,N/A
30,100.0,1,100.0,1.0,0.8603841919146962,1,N/A
40,100.0,1,100.0,1.0,0.8183201210226743,1,N/A
50,100.0,1,100.0,1.0,0.778312557068642,1,N/A
60,100.0,1,100.0,1.0,0.7402609576967045,1,N/A
70,100.0,1,100.0,1.0,0.7040696960536299,1,99.1625
80,100.0,1,100.0,1.0,0.6696478204705644,1,98.8668
90,100.0,1,100.0,1.0,0.6369088258938781,1,98.5412
100,100.0,1,100.0,1.0,0.6057704364907278,1,98.1416
