Episode,TotalReward,Steps,AvgReward,AvgSteps,Epsilon,BestNetworkLen,Loss
50,-10.0,25,-9.716666666666667,24.98,0.9512056281970315,24,0.0146
100,-10.0,25,-9.409090909090908,24.84,0.9047921471137096,20,0.0041
150,-10.0,25,-9.72,25.0,0.8606433826830369,20,0.1177
200,-10.0,25,-10.0,25.0,0.818648829478636,20,0.0228
250,-10.0,25,-9.694736842105263,24.88,0.7787033741169904,19,0.0151
300,-10.0,25,-9.72,25.0,0.7407070321560997,19,0.0176
350,-10.0,25,-10.0,25.0,0.704564697832001,19,0.0099
400,-10.0,25,-9.72,25.0,0.6701859060067403,19,0.0204
450,-10.0,25,-9.424761904761905,24.92,0.6374846057319378,19,0.0065
500,-10.0,25,-10.0,25.0,0.6063789448611848,19,0.0309
550,-10.0,25,-10.0,25.0,0.5767910651721362,19,0.0058
600,-10.0,25,-10.0,25.0,0.5486469074854965,19,0.0530
650,-10.0,25,-10.0,25.0,0.5218760262931003,19,0.0145
700,-10.0,25,-10.0,25.0,0.4964114134310989,19,0.0168
750,-10.0,25,-10.0,25.0,0.47218933035690447,19,0.0179
800,-10.0,25,-10.0,25.0,0.4491491486100748,19,0.0096
850,-10.0,25,-10.0,25.0,0.427233198057808,19,0.0116
900,-10.0,25,-10.0,25.0,0.4063866225452039,19,0.0115
950,-10.0,25,-10.0,25.0,0.3865572425889805,19,0.0043
1000,-10.0,25,-10.0,25.0,0.3676954247709635,19,0.0061
1050,-10.0,25,-10.0,25.0,0.349753957504439,19,0.0049
1100,-10.0,25,-10.0,25.0,0.33268793286240766,19,0.0113
1150,-10.0,25,-10.0,25.0,0.31645463417195824,19,0.0060
1200,-10.0,25,-10.0,25.0,0.3010134290933992,19,0.0039
1250,-10.0,25,-10.0,25.0,0.28632566791652947,19,0.0097
1300,-10.0,25,-10.0,25.0,0.27235458681947705,19,0.0032
1350,-10.0,25,-10.0,25.0,0.25906521584796366,19,0.0014
1400,-10.0,25,-10.0,25.0,0.24642429138466176,19,0.0056
1450,-10.0,25,-10.0,25.0,0.23440017288955545,19,0.0040
1500,-10.0,25,-10.0,25.0,0.22296276370290227,19,0.0011
1550,-10.0,25,-10.0,25.0,0.21208343571256533,19,0.0015
1600,-10.0,25,-10.0,25.0,0.20173495769715546,19,0.0016
1650,-10.0,25,-10.0,25.0,0.19189142716562432,19,0.0020
1700,-10.0,25,-10.0,25.0,0.18252820552270246,19,0.0071
1750,-10.0,25,-10.0,25.0,0.17362185639789907,19,0.0029
1800,-10.0,25,-10.0,25.0,0.1651500869836984,19,0.0047
1850,-10.0,25,-10.0,25.0,0.1570916922361232,19,0.0030
