Episode,TotalReward,Steps,AvgReward,AvgSteps,Epsilon,BestNetworkLen,Loss
50,-5.0,65,-5.0,65.0,0.9753038143277888,N/A,3675288.5000
100,-5.0,65,-5.0,65.0,0.951217530242334,N/A,20320280.0000
150,-5.0,65,-4.864912280701755,64.84,0.9277260855008077,57,9004867.0000
200,-5.0,65,-5.0,65.0,0.9048147898403269,57,5941267.0000
250,-5.0,65,-5.0,65.0,0.8824693157914677,57,1953178.7500
300,-5.0,65,-5.0,65.0,0.8606756897186528,57,1167913.2500
350,-5.0,65,-5.0,65.0,0.8394202830818028,57,262708.8750
400,-5.0,65,-5.0,65.0,0.8186898039137951,57,24238.1387
450,-5.0,65,-5.0,65.0,0.7984712885083941,57,1056.4224
500,-5.0,65,-5.0,65.0,0.7787520933134615,57,633.9211
550,-5.0,65,-5.0,65.0,0.7595198870243695,57,427.7332
600,-5.0,65,-5.0,65.0,0.7407626428726788,57,209.7576
650,-5.0,65,-5.0,65.0,0.7224686311052574,57,243.9145
700,-5.0,65,-5.0,65.0,0.7046264116491338,57,153.0976
750,-5.0,65,-5.0,65.0,0.6872248269575028,57,6.8713
800,-5.0,65,-5.0,65.0,0.6702529950324074,57,3.4529
850,-5.0,65,-5.0,65.0,0.6537003026197313,57,0.0725
900,-5.0,65,-5.0,65.0,0.637556398572254,57,1.6865
950,-5.0,65,-5.0,65.0,0.6218111873766076,57,2.8459
1000,-5.0,65,-5.0,65.0,0.606454822840097,57,3.1733
