"Best network found at episode 185, Length: 33"
0,4
2,5
1,5
0,2
0,1
4,5
0,1
0,3
1,6
3,6
1,4
2,5
2,6
2,4
0,2
1,5
0,1
5,6
2,4
0,2
0,4
1,4
3,5
1,3
0,3
0,1
1,2
4,6
4,5
3,4
3,4
0,5
2,3
