Episode,TotalReward,AvgReward,Epsilon
50,15.0625,11.20375,0.778312557068642
100,6.1875,12.69,0.6057704364907278
150,16.4375,12.2525,0.47147873742168567
200,8.5625,13.33875,0.3669578217261671
250,16.25,14.7375,0.285607880564032
300,16.5625,14.31125,0.22229219984074702
350,16.8125,14.17375,0.1730128104744653
400,14.8125,15.03625,0.1346580429260134
450,17.0,15.8725,0.10480604571960442
500,16.1875,15.815,0.08157186144027828
550,16.25,16.0625,0.06348840406243188
600,17.5625,16.745,0.05
650,17.5625,15.87,0.05
700,17.375,14.6275,0.05
750,16.625,15.9475,0.05
800,15.5625,16.04,0.05
850,15.3125,14.355,0.05
900,17.25,16.2625,0.05
950,15.625,15.5425,0.05
1000,12.0625,16.31375,0.05
