Episode,TotalReward,Steps,AvgReward,AvgSteps,Epsilon,BestNetworkLen,Loss
100,-5.0,90,-5.0,90.0,0.998001978707025,N/A,0.0024
200,-5.0,90,-4.877525252525253,89.98,0.9960079495031373,88,0.0007
300,-5.0,90,-4.938372093023256,89.96,0.9940179044120576,86,0.0005
400,-5.0,90,-5.0,90.0,0.9920318354734439,86,0.0010
500,-5.0,90,-4.938095238095238,89.94,0.9900497347428587,84,0.0006
600,-5.0,90,-5.0,90.0,0.9880715942917384,84,0.0005
700,-5.0,90,-5.0,90.0,0.9860974062073598,84,0.0071
800,-5.0,90,-4.938505747126436,89.97,0.9841271625928103,84,0.0001
900,-5.0,90,-5.0,90.0,0.9821608555669553,84,0.0002
1000,-5.0,90,-5.0,90.0,0.980198477264406,84,0.0004
