"Best network found at episode 477, Length: 84"
0,3
1,5
6,7
0,4
2,8
0,1
1,6
2,3
5,8
2,6
1,9
1,6
8,9
0,1
4,9
6,9
4,6
2,9
7,8
0,3
2,5
0,4
3,6
6,7
2,6
1,3
1,2
1,9
2,9
1,6
1,8
5,7
1,3
6,7
7,9
0,4
6,9
7,8
3,7
0,4
0,7
4,5
2,5
3,4
0,3
0,2
1,9
4,9
5,6
1,5
5,8
0,7
5,9
1,4
1,9
0,3
3,5
0,9
6,7
6,9
2,4
8,9
1,9
0,4
2,3
1,3
0,5
6,8
0,8
0,1
2,3
0,6
5,6
0,7
4,6
0,9
1,8
1,2
5,9
5,7
3,5
5,6
4,6
4,5
