Episode,TotalReward,Steps,AvgReward,AvgSteps,Epsilon,BestNetworkLen,Loss
100,-5.0,70,-5.0,70.0,0.998001978707025,N/A,0.0003
200,-5.0,70,-5.0,70.0,0.9960079495031373,N/A,0.0005
300,-5.0,70,-5.0,70.0,0.9940179044120576,N/A,0.0008
400,-5.0,70,-5.0,70.0,0.9920318354734439,N/A,0.0004
500,-5.0,70,-5.0,70.0,0.9900497347428587,N/A,0.0017
600,-5.0,70,-5.0,70.0,0.9880715942917384,N/A,0.0004
700,-5.0,70,-5.0,70.0,0.9860974062073598,N/A,0.0019
800,-5.0,70,-5.0,70.0,0.9841271625928103,N/A,0.0013
900,-5.0,70,-5.0,70.0,0.9821608555669553,N/A,0.0169
1000,-5.0,70,-5.0,70.0,0.980198477264406,N/A,0.0009
