"Best network found at episode 546, Length: 88"
0,3
0,7
3,9
2,6
1,4
7,8
2,5
3,9
0,6
1,2
6,9
1,4
0,5
4,5
8,9
5,9
1,8
2,5
0,8
6,8
0,9
0,7
8,9
4,9
1,9
6,9
3,5
3,8
6,8
0,3
2,4
7,9
2,5
3,4
4,8
5,6
2,9
2,3
6,8
1,2
3,8
3,7
0,1
4,9
2,3
0,4
3,5
5,9
2,9
5,6
0,9
5,7
0,6
4,7
1,9
2,4
3,9
6,7
0,6
4,7
0,3
7,8
1,2
0,4
3,8
0,7
0,9
3,8
2,3
4,6
0,2
0,8
7,9
0,8
0,4
0,9
1,5
5,9
1,8
5,7
2,4
0,4
0,9
7,8
8,9
3,5
0,1
4,5
