Episode,TotalReward,Steps,AvgReward,AvgSteps,Epsilon,BestNetworkLen,Loss
100,-5.0,90,-5.0,90.0,0.998001978707025,N/A,3609931.5000
200,-5.0,90,-5.0,90.0,0.9960079495031373,N/A,24847468.0000
300,-5.0,90,-5.0,90.0,0.9940179044120576,N/A,54444988.0000
400,-5.0,90,-5.0,90.0,0.9920318354734439,N/A,89791640.0000
500,-5.0,90,-5.0,90.0,0.9900497347428587,N/A,27891840.0000
600,-5.0,90,-4.9386363636363635,89.98,0.9880715942917384,88,133485360.0000
700,-5.0,90,-5.0,90.0,0.9860974062073598,88,43563232.0000
800,-5.0,90,-5.0,90.0,0.9841271625928103,88,195467040.0000
900,-5.0,90,-5.0,90.0,0.9821608555669553,88,207577616.0000
1000,-5.0,90,-5.0,90.0,0.980198477264406,88,315148544.0000
