Episode,TotalReward,Steps,AvgReward,AvgSteps,Epsilon,BestNetworkLen,Loss
50,14.285714285714286,7,-3.4063492063492067,9.56,0.778312557068642,6,0.3581
100,10.0,10,-1.2261904761904765,9.42,0.6057704364907278,6,0.5131
150,16.666666666666668,6,-1.1785714285714286,9.4,0.47147873742168567,6,0.6473
200,12.5,8,1.1920634920634923,9.4,0.3669578217261671,6,0.7249
250,12.5,8,0.8904761904761904,9.32,0.285607880564032,6,0.4328
300,11.11111111111111,9,2.3571428571428577,9.18,0.22229219984074702,6,0.4245
350,10.0,10,5.798412698412697,9.2,0.1730128104744653,6,0.4412
400,11.11111111111111,9,7.9269841269841255,8.86,0.1346580429260134,5,0.2654
450,11.11111111111111,9,10.324603174603174,8.36,0.10480604571960442,5,0.4184
500,14.285714285714286,7,12.412698412698415,7.4,0.08157186144027828,5,0.3293
550,16.666666666666668,6,16.92063492063492,6.0,0.06348840406243188,5,0.4039
600,-10.0,10,17.256349206349206,5.8,0.0494138221100385,5,0.2774
650,20.0,5,18.478571428571428,5.46,0.03845939824099909,5,0.3857
700,20.0,5,18.50952380952381,5.42,0.029933432588273214,5,0.2682
750,12.5,8,14.658730158730162,6.74,0.023297566459620722,5,0.5126
800,10.0,10,2.546031746031746,9.58,0.018132788524664028,5,0.2824
850,20.0,5,18.25,5.38,0.014112977003416188,5,0.3714
900,20.0,5,19.81904761904762,5.06,0.01098430721937979,5,0.1530
950,20.0,5,19.707936507936505,5.12,0.01,5,0.3673
1000,20.0,5,19.822222222222223,5.08,0.01,5,0.2349
1050,20.0,5,19.752380952380953,5.08,0.01,5,0.3015
1100,20.0,5,19.783333333333335,5.08,0.01,5,0.1762
1150,20.0,5,20.0,5.0,0.01,5,0.1908
1200,20.0,5,19.333333333333336,5.12,0.01,5,0.2816
1250,16.666666666666668,6,19.752380952380953,5.08,0.01,5,0.1020
1300,20.0,5,20.0,5.0,0.01,5,0.0774
1350,20.0,5,19.428571428571427,5.2,0.01,5,0.1794
1400,20.0,5,19.266666666666666,5.14,0.01,5,0.0448
1450,20.0,5,19.8,5.06,0.01,5,0.2011
1500,20.0,5,19.552380952380954,5.18,0.01,5,0.2236
1550,20.0,5,19.4,5.1,0.01,5,0.1991
1600,20.0,5,19.733333333333334,5.12,0.01,5,0.0433
1650,11.11111111111111,9,18.194444444444443,5.8,0.01,5,0.3220
1700,-10.0,10,4.333333333333334,7.98,0.01,5,0.1902
1750,20.0,5,17.25,6.12,0.01,5,0.0670
1800,20.0,5,19.2,5.2,0.01,5,0.0925
1850,20.0,5,20.0,5.0,0.01,5,0.0660
1900,20.0,5,19.85,5.06,0.01,5,0.0503
1950,20.0,5,15.022222222222222,7.18,0.01,5,0.0247
2000,20.0,5,19.783333333333335,5.08,0.01,5,0.0606
2050,20.0,5,19.733333333333334,5.12,0.01,5,0.0402
2100,20.0,5,19.733333333333334,5.12,0.01,5,0.0200
2150,20.0,5,19.81904761904762,5.06,0.01,5,0.0293
2200,11.11111111111111,9,16.974603174603175,6.18,0.01,5,0.0126
2250,12.5,8,16.35,6.34,0.01,5,0.0213
2300,12.5,8,14.265079365079364,7.14,0.01,5,0.0121
2350,20.0,5,19.85,5.06,0.01,5,0.0309
2400,20.0,5,19.933333333333334,5.02,0.01,5,0.0091
2450,20.0,5,19.266666666666666,5.14,0.01,5,0.0098
2500,20.0,5,19.822222222222223,5.08,0.01,5,0.0159
2550,20.0,5,19.885714285714286,5.04,0.01,5,0.0025
2600,20.0,5,19.641269841269843,5.14,0.01,5,0.0225
2650,20.0,5,19.133333333333336,5.22,0.01,5,0.0579
2700,20.0,5,19.735714285714284,5.1,0.01,5,0.0076
2750,20.0,5,19.885714285714286,5.04,0.01,5,0.0142
2800,20.0,5,19.885714285714286,5.04,0.01,5,0.0065
2850,20.0,5,19.81904761904762,5.06,0.01,5,0.0265
2900,20.0,5,19.333333333333336,5.12,0.01,5,0.0206
2950,12.5,8,17.583333333333336,6.0,0.01,5,0.0128
3000,10.0,10,16.507142857142856,6.44,0.01,5,0.0030
