Episode,TotalReward,Steps,AvgReward,AvgSteps,Epsilon,BestNetworkLen,Loss
50,-10.0,20,-10.0,20.0,0.778312557068642,N/A,0.1614
100,-10.0,20,-10.0,20.0,0.6057704364907278,N/A,0.0045
150,-10.0,20,-10.0,20.0,0.47147873742168567,N/A,0.0214
200,-10.0,20,-10.0,20.0,0.3669578217261671,N/A,0.0446
250,-10.0,20,-10.0,20.0,0.285607880564032,N/A,0.0152
300,-10.0,20,-10.0,20.0,0.22229219984074702,N/A,0.0064
350,-10.0,20,-10.0,20.0,0.1730128104744653,N/A,0.0111
400,-10.0,20,-10.0,20.0,0.1346580429260134,N/A,0.0069
450,-10.0,20,-10.0,20.0,0.10480604571960442,N/A,0.0083
500,-10.0,20,-10.0,20.0,0.08157186144027828,N/A,0.0089
550,-10.0,20,-10.0,20.0,0.06348840406243188,N/A,0.0074
600,-10.0,20,-10.0,20.0,0.0494138221100385,N/A,0.0097
650,-10.0,20,-10.0,20.0,0.03845939824099909,N/A,0.0030
700,-10.0,20,-10.0,20.0,0.029933432588273214,N/A,0.0034
750,-10.0,20,-10.0,20.0,0.023297566459620722,N/A,0.0038
800,-10.0,20,-10.0,20.0,0.018132788524664028,N/A,0.0040
850,-10.0,20,-10.0,20.0,0.014112977003416188,N/A,0.0022
900,-10.0,20,-10.0,20.0,0.01098430721937979,N/A,0.0044
950,-10.0,20,-10.0,20.0,0.01,N/A,0.0014
1000,-10.0,20,-10.0,20.0,0.01,N/A,0.0021
1050,-10.0,20,-10.0,20.0,0.01,N/A,0.0019
1100,-10.0,20,-10.0,20.0,0.01,N/A,0.0048
1150,-10.0,20,-10.0,20.0,0.01,N/A,0.0016
1200,-10.0,20,-10.0,20.0,0.01,N/A,0.0015
1250,-10.0,20,-10.0,20.0,0.01,N/A,0.0010
1300,-10.0,20,-10.0,20.0,0.01,N/A,0.0006
1350,-10.0,20,-10.0,20.0,0.01,N/A,0.0019
1400,-10.0,20,-10.0,20.0,0.01,N/A,0.0033
1450,-10.0,20,-10.0,20.0,0.01,N/A,0.0023
1500,-10.0,20,-10.0,20.0,0.01,N/A,0.0041
1550,-10.0,20,-10.0,20.0,0.01,N/A,0.0023
1600,-10.0,20,-10.0,20.0,0.01,N/A,0.0018
1650,-10.0,20,-10.0,20.0,0.01,N/A,0.0010
1700,-10.0,20,-10.0,20.0,0.01,N/A,0.0011
1750,-10.0,20,-10.0,20.0,0.01,N/A,0.0044
1800,-10.0,20,-10.0,20.0,0.01,N/A,0.0023
1850,-10.0,20,-10.0,20.0,0.01,N/A,0.0012
1900,-10.0,20,-10.0,20.0,0.01,N/A,0.0005
1950,-10.0,20,-10.0,20.0,0.01,N/A,0.0007
2000,-10.0,20,-10.0,20.0,0.01,N/A,0.0022
2050,-10.0,20,-10.0,20.0,0.01,N/A,0.0007
2100,-10.0,20,-10.0,20.0,0.01,N/A,0.0010
2150,-10.0,20,-10.0,20.0,0.01,N/A,0.0071
2200,-10.0,20,-10.0,20.0,0.01,N/A,0.0008
2250,-10.0,20,-10.0,20.0,0.01,N/A,0.0009
2300,-10.0,20,-10.0,20.0,0.01,N/A,0.0005
2350,-10.0,20,-10.0,20.0,0.01,N/A,0.0013
2400,-10.0,20,-10.0,20.0,0.01,N/A,0.0007
2450,-10.0,20,-10.0,20.0,0.01,N/A,0.0003
2500,-10.0,20,-10.0,20.0,0.01,N/A,0.0005
2550,-10.0,20,-10.0,20.0,0.01,N/A,0.0003
2600,-10.0,20,-10.0,20.0,0.01,N/A,0.0007
2650,-10.0,20,-10.0,20.0,0.01,N/A,0.0012
2700,-10.0,20,-10.0,20.0,0.01,N/A,0.0009
2750,-10.0,20,-10.0,20.0,0.01,N/A,0.0001
2800,-10.0,20,-10.0,20.0,0.01,N/A,0.0003
2850,-10.0,20,-10.0,20.0,0.01,N/A,0.0004
2900,-10.0,20,-10.0,20.0,0.01,N/A,0.0003
2950,-10.0,20,-10.0,20.0,0.01,N/A,0.0007
3000,-10.0,20,-10.0,20.0,0.01,N/A,0.0010
3050,-10.0,20,-10.0,20.0,0.01,N/A,0.0004
3100,-10.0,20,-10.0,20.0,0.01,N/A,0.0004
3150,-10.0,20,-10.0,20.0,0.01,N/A,0.0004
3200,-10.0,20,-10.0,20.0,0.01,N/A,0.0003
3250,-10.0,20,-10.0,20.0,0.01,N/A,0.0006
3300,-10.0,20,-10.0,20.0,0.01,N/A,0.0011
3350,-10.0,20,-10.0,20.0,0.01,N/A,0.0004
3400,-10.0,20,-10.0,20.0,0.01,N/A,0.0014
3450,-10.0,20,-10.0,20.0,0.01,N/A,0.0002
3500,-10.0,20,-10.0,20.0,0.01,N/A,0.0006
3550,-10.0,20,-10.0,20.0,0.01,N/A,0.0007
3600,-10.0,20,-10.0,20.0,0.01,N/A,0.0005
3650,-10.0,20,-10.0,20.0,0.01,N/A,0.0002
3700,-10.0,20,-10.0,20.0,0.01,N/A,0.0003
3750,-10.0,20,-10.0,20.0,0.01,N/A,0.0008
3800,-10.0,20,-10.0,20.0,0.01,N/A,0.0005
3850,-10.0,20,-10.0,20.0,0.01,N/A,0.0005
3900,-10.0,20,-10.0,20.0,0.01,N/A,0.0012
3950,-10.0,20,-10.0,20.0,0.01,N/A,0.0006
4000,-10.0,20,-10.0,20.0,0.01,N/A,0.0004
4050,-10.0,20,-10.0,20.0,0.01,N/A,0.0002
4100,-10.0,20,-10.0,20.0,0.01,N/A,0.0003
4150,-10.0,20,-10.0,20.0,0.01,N/A,0.0004
4200,-10.0,20,-10.0,20.0,0.01,N/A,0.0002
4250,-10.0,20,-10.0,20.0,0.01,N/A,0.0004
4300,-10.0,20,-10.0,20.0,0.01,N/A,0.0004
4350,-10.0,20,-10.0,20.0,0.01,N/A,0.0004
4400,-10.0,20,-10.0,20.0,0.01,N/A,0.0002
4450,-10.0,20,-10.0,20.0,0.01,N/A,0.0002
4500,-10.0,20,-10.0,20.0,0.01,N/A,0.0004
4550,-10.0,20,-10.0,20.0,0.01,N/A,0.0002
4600,-10.0,20,-10.0,20.0,0.01,N/A,0.0019
4650,-10.0,20,-10.0,20.0,0.01,N/A,0.0008
4700,-10.0,20,-10.0,20.0,0.01,N/A,0.0008
4750,-10.0,20,-10.0,20.0,0.01,N/A,0.0005
4800,-10.0,20,-10.0,20.0,0.01,N/A,0.0009
4850,-10.0,20,-10.0,20.0,0.01,N/A,0.0007
4900,-10.0,20,-10.0,20.0,0.01,N/A,0.0007
4950,-10.0,20,-10.0,20.0,0.01,N/A,0.0005
5000,-10.0,20,-10.0,20.0,0.01,N/A,0.0010
